input_length,config,conv1_bits,conv2_bits,fc1_bits,fc2_bits,seed,label_detected,test_accuracy,train_seconds,status
101,INT 8-4-4-4,8,4,4,4,43,mixed,99.152,88.63079929351807,success
101,INT 8-4-4-4,8,4,4,4,44,mixed,99.332,88.07492899894714,success
101,INT 8-4-4-4,8,4,4,4,45,mixed,99.423,87.66925168037415,success
101,INT 8-4-4-4,8,4,4,4,46,mixed,99.165,88.3537290096283,success
101,INT 8-4-4-2,8,4,4,2,42,mixed,98.53,87.64829206466675,success
101,INT 8-4-4-2,8,4,4,2,43,mixed,99.027,88.6716787815094,success
101,INT 8-4-4-2,8,4,4,2,44,mixed,99.338,87.5540988445282,success
101,INT 8-4-4-2,8,4,4,2,45,mixed,99.419,88.11189198493958,success
101,INT 8-4-4-2,8,4,4,2,46,mixed,99.082,88.64582419395447,success
101,INT 8-4-2-8,8,4,2,8,42,mixed,98.827,87.87080979347229,success
101,INT 8-4-2-8,8,4,2,8,43,mixed,99.085,88.60105228424072,success
101,INT 8-4-2-8,8,4,2,8,44,mixed,99.357,88.1052520275116,success
101,INT 8-4-2-8,8,4,2,8,45,mixed,99.469,87.84993100166321,success
101,INT 8-4-2-8,8,4,2,8,46,mixed,99.142,88.33507966995239,success
101,INT 8-4-2-4,8,4,2,4,42,mixed,98.881,88.11751866340637,success
101,INT 8-4-2-4,8,4,2,4,43,mixed,99.162,87.55613899230957,success
101,INT 8-4-2-4,8,4,2,4,44,mixed,99.366,88.25226402282715,success
101,INT 8-4-2-4,8,4,2,4,45,mixed,99.43,91.88349413871765,success
101,INT 8-4-2-4,8,4,2,4,46,mixed,99.11,88.13649034500122,success
101,INT 8-4-2-2,8,4,2,2,42,mixed,98.812,87.9456467628479,success
101,INT 8-4-2-2,8,4,2,2,43,mixed,99.07,91.62768292427063,success
101,INT 8-4-2-2,8,4,2,2,44,mixed,99.352,88.13588333129883,success
101,INT 8-4-2-2,8,4,2,2,45,mixed,99.376,88.09369826316833,success
101,INT 8-4-2-2,8,4,2,2,46,mixed,99.07,88.10477352142334,success
101,INT 8-2-8-8,8,2,8,8,42,mixed,98.264,88.38866353034973,success
101,INT 8-2-8-8,8,2,8,8,43,mixed,99.089,88.2290997505188,success
101,INT 8-2-8-8,8,2,8,8,44,mixed,98.814,91.43576264381409,success
101,INT 8-2-8-8,8,2,8,8,45,mixed,99.253,88.07079672813416,success
101,INT 8-2-8-8,8,2,8,8,46,mixed,99.013,88.00631332397461,success
101,INT 8-2-8-4,8,2,8,4,42,mixed,98.233,88.07212805747986,success
