input_length,size_MiB_total,size_MB_total,size_KiB_total,size_KB_total,config,runs,mean_acc,std_acc
101,0.193205,0.20259,197.842,202.59,INT 2-2-8-2,5,93.7622,3.4017
101,0.097456,0.10219,99.795,102.19,INT 2-2-4-8,5,94.1194,3.0257
101,0.097075,0.10179,99.404,101.79,INT 2-2-4-4,5,93.7066,2.9671
101,0.096884,0.10159,99.209,101.59,INT 2-2-4-2,5,93.631,3.3851
101,0.049295,0.05169,50.479,51.69,INT 2-2-2-8,5,94.3374,2.6959
101,0.048914,0.05129,50.088,51.29,INT 2-2-2-4,5,93.997,3.2491
101,0.048723,0.05109,49.893,51.09,INT 2-2-2-2,5,93.7196,3.4918
91,0.174961,0.18346,179.16,183.46,INT 8-8-8-8,5,99.2194,0.2307
91,0.17458,0.18306,178.77,183.06,INT 8-8-8-4,5,99.2238,0.2375
91,0.174389,0.18286,178.574,182.86,INT 8-8-8-2,5,99.2072,0.2217
91,0.088177,0.09246,90.293,92.46,INT 8-8-4-8,5,99.2262,0.2249
91,0.087795,0.09206,89.902,92.06,INT 8-8-4-4,5,99.2316,0.2493
91,0.087605,0.09186,89.707,91.86,INT 8-8-4-2,5,99.2022,0.2153
91,0.044785,0.04696,45.859,46.96,INT 8-8-2-8,5,99.2228,0.2172
91,0.044403,0.04656,45.469,46.56,INT 8-8-2-4,5,99.2158,0.222
91,0.044212,0.04636,45.273,46.36,INT 8-8-2-2,5,99.2068,0.2175
91,0.174818,0.18331,179.014,183.31,INT 8-4-8-8,5,99.1908,0.1957
91,0.174437,0.18291,178.623,182.91,INT 8-4-8-4,5,99.2026,0.2133
91,0.174246,0.18271,178.428,182.71,INT 8-4-8-2,5,99.0876,0.222
91,0.088034,0.09231,90.146,92.31,INT 8-4-4-8,5,99.1906,0.1925
91,0.087652,0.09191,89.756,91.91,INT 8-4-4-4,5,99.2138,0.2113
91,0.087461,0.09171,89.561,91.71,INT 8-4-4-2,5,99.173,0.2613
91,0.044641,0.04681,45.713,46.81,INT 8-4-2-8,5,99.1482,0.1779
91,0.04426,0.04641,45.322,46.41,INT 8-4-2-4,5,99.1884,0.2243
91,0.044069,0.04621,45.127,46.21,INT 8-4-2-2,5,99.1886,0.2294
91,0.174747,0.183235,178.94,183.235,INT 8-2-8-8,5,98.8238,0.223
91,0.174365,0.182835,178.55,182.835,INT 8-2-8-4,5,98.7858,0.2916
91,0.174174,0.182635,178.354,182.635,INT 8-2-8-2,5,98.7948,0.2905
91,0.087962,0.092235,90.073,92.235,INT 8-2-4-8,5,98.8328,0.3367
91,0.087581,0.091835,89.683,91.835,INT 8-2-4-4,5,98.7826,0.2115
91,0.08739,0.091635,89.487,91.635,INT 8-2-4-2,5,98.7254,0.2425
91,0.04457,0.046735,45.64,46.735,INT 8-2-2-8,5,98.8408,0.2891
91,0.044188,0.046335,45.249,46.335,INT 8-2-2-4,5,98.8296,0.2847
91,0.043998,0.046135,45.054,46.135,INT 8-2-2-2,5,98.6602,0.4453
91,0.174932,0.18343,179.131,183.43,INT 4-8-8-8,5,98.4556,0.4388
91,0.174551,0.18303,178.74,183.03,INT 4-8-8-4,5,98.4486,0.358
91,0.17436,0.18283,178.545,182.83,INT 4-8-8-2,5,98.4214,0.3507
91,0.088148,0.09243,90.264,92.43,INT 4-8-4-8,5,98.6036,0.3899
91,0.087767,0.09203,89.873,92.03,INT 4-8-4-4,5,98.5156,0.3026
91,0.087576,0.09183,89.678,91.83,INT 4-8-4-2,5,98.3892,0.3543
91,0.044756,0.04693,45.83,46.93,INT 4-8-2-8,5,98.453,0.2729
91,0.044374,0.04653,45.439,46.53,INT 4-8-2-4,5,98.495,0.281
91,0.044184,0.04633,45.244,46.33,INT 4-8-2-2,5,98.4628,0.2523
91,0.174789,0.18328,178.984,183.28,INT 4-4-8-8,5,98.3882,0.3919
91,0.174408,0.18288,178.594,182.88,INT 4-4-8-4,5,98.3994,0.5116
91,0.174217,0.18268,178.398,182.68,INT 4-4-8-2,5,98.3488,0.3895
91,0.088005,0.09228,90.117,92.28,INT 4-4-4-8,5,98.4008,0.4975
91,0.087624,0.09188,89.727,91.88,INT 4-4-4-4,5,98.4362,0.4745
91,0.087433,0.09168,89.531,91.68,INT 4-4-4-2,5,98.4168,0.4471
91,0.044613,0.04678,45.684,46.78,INT 4-4-2-8,5,98.4462,0.4298
91,0.044231,0.04638,45.293,46.38,INT 4-4-2-4,5,98.428,0.3975
91,0.044041,0.04618,45.098,46.18,INT 4-4-2-2,5,98.4046,0.402
91,0.174718,0.183205,178.911,183.205,INT 4-2-8-8,5,97.6948,1.5048
91,0.174336,0.182805,178.521,182.805,INT 4-2-8-4,5,98.1858,0.6415
91,0.174146,0.182605,178.325,182.605,INT 4-2-8-2,5,98.0984,0.5489
91,0.087934,0.092205,90.044,92.205,INT 4-2-4-8,5,97.934,0.6575
91,0.087552,0.091805,89.653,91.805,INT 4-2-4-4,5,98.0438,0.654
91,0.087361,0.091605,89.458,91.605,INT 4-2-4-2,5,98.0638,0.6357
91,0.044541,0.046705,45.61,46.705,INT 4-2-2-8,5,97.8932,0.929
91,0.04416,0.046305,45.22,46.305,INT 4-2-2-4,5,97.9662,0.8854
91,0.043969,0.046105,45.024,46.105,INT 4-2-2-2,5,97.8004,0.992
91,0.174918,0.183415,179.116,183.415,INT 2-8-8-8,5,93.5452,4.975
91,0.174537,0.183015,178.726,183.015,INT 2-8-8-4,5,93.6234,4.7963
91,0.174346,0.182815,178.53,182.815,INT 2-8-8-2,5,93.4044,5.0671
91,0.088134,0.092415,90.249,92.415,INT 2-8-4-8,5,93.6632,4.7079
91,0.087752,0.092015,89.858,92.015,INT 2-8-4-4,5,93.6852,4.6531
91,0.087562,0.091815,89.663,91.815,INT 2-8-4-2,5,93.4706,4.8646
91,0.044742,0.046915,45.815,46.915,INT 2-8-2-8,5,93.9782,4.3398
91,0.04436,0.046515,45.425,46.515,INT 2-8-2-4,5,93.9376,4.3283
91,0.044169,0.046315,45.229,46.315,INT 2-8-2-2,5,93.744,4.5551
91,0.174775,0.183265,178.97,183.265,INT 2-4-8-8,5,93.1304,5.6791
91,0.174394,0.182865,178.579,182.865,INT 2-4-8-4,5,92.9516,5.8897
91,0.174203,0.182665,178.384,182.665,INT 2-4-8-2,5,93.218,5.008
91,0.087991,0.092265,90.103,92.265,INT 2-4-4-8,5,93.2974,5.3037
91,0.087609,0.091865,89.712,91.865,INT 2-4-4-4,5,93.283,5.2872
91,0.087419,0.091665,89.517,91.665,INT 2-4-4-2,5,92.9418,5.6304
91,0.044599,0.046765,45.669,46.765,INT 2-4-2-8,5,93.7686,4.2872
91,0.044217,0.046365,45.278,46.365,INT 2-4-2-4,5,93.5516,4.653
91,0.044026,0.046165,45.083,46.165,INT 2-4-2-2,5,93.3596,4.576
91,0.174704,0.18319,178.896,183.19,INT 2-2-8-8,5,93.5396,3.6341
91,0.174322,0.18279,178.506,182.79,INT 2-2-8-4,5,93.532,3.7673
91,0.174131,0.18259,178.311,182.59,INT 2-2-8-2,5,93.473,3.7986
91,0.087919,0.09219,90.029,92.19,INT 2-2-4-8,5,93.7936,3.3817
91,0.087538,0.09179,89.639,91.79,INT 2-2-4-4,5,93.6568,3.4304
91,0.087347,0.09159,89.443,91.59,INT 2-2-4-2,5,93.2966,3.7507
91,0.044527,0.04669,45.596,46.69,INT 2-2-2-8,5,93.717,3.3187
91,0.044146,0.04629,45.205,46.29,INT 2-2-2-4,5,93.8888,3.2631
91,0.043955,0.04609,45.01,46.09,INT 2-2-2-2,5,93.6158,3.6095
81,0.155888,0.16346,159.629,163.46,INT 8-8-8-8,5,98.6734,0.3193
