input_length,alpha,config,conv1_bits,conv2_bits,fc1_bits,fc2_bits,hawq_rank,omega,hawq_compression_ratio,hawq_bit_complexity,hawq_source
41,41,INT 2-2-2-2,2,2,2,2,1,0.11294378340244293,4.0,195120.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L41.json
41,41,INT 2-2-2-4,2,2,2,4,2,0.1122526079416275,3.9674664497763317,196720.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L41.json
41,41,INT 2-2-2-8,2,2,2,8,3,0.1122249960899353,3.9039615846338536,199920.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L41.json
41,41,INT 4-2-2-2,4,2,2,2,4,0.02006617933511734,3.901619676064787,200040.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L41.json
41,41,INT 4-2-2-4,4,2,2,4,5,0.01937500201165676,3.8706605832176155,201640.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L41.json
41,41,INT 4-2-2-8,4,2,2,8,6,0.01934739202260971,3.8101933216168717,204840.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L41.json
41,41,INT 8-2-2-2,8,2,2,2,7,0.016879064962267876,3.718696397941681,209880.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L41.json
41,41,INT 8-2-2-4,8,2,2,4,8,0.016187887638807297,3.6905617552487233,211480.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L41.json
41,41,INT 8-2-2-8,8,2,2,8,9,0.016160277649760246,3.635550586920067,214680.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L41.json
41,41,INT 4-4-2-2,4,4,2,2,10,0.004810440354049206,3.4743589743589745,224640.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L41.json
41,41,INT 4-4-2-4,4,4,2,4,11,0.004119262099266052,3.44978783592645,226240.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L41.json
41,41,INT 4-4-2-8,4,4,2,8,12,0.004091653507202864,3.401673640167364,229440.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L41.json
41,41,INT 8-4-2-2,8,4,2,2,13,0.0016233259811997414,3.328556806550665,234480.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L41.json
41,41,INT 8-4-2-4,8,4,2,4,14,0.0009321479592472315,3.3059979667909185,236080.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L41.json
41,41,INT 8-4-2-8,8,4,2,8,15,0.0009045391343533993,3.2617853560682044,239280.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L41.json
41,41,INT 8-8-2-4,8,8,2,4,16,0.00027804914861917496,2.7358384744812114,285280.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L41.json
41,41,INT 8-8-2-8,8,8,2,8,17,0.0002504403528291732,2.7054908485856903,288480.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L41.json
41,41,INT 8-8-4-4,8,8,4,4,18,5.878072988707572e-05,1.7371794871794872,449280.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L41.json
41,41,INT 8-8-4-8,8,8,4,8,19,3.117192682111636e-05,1.724893917963225,452480.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L41.json
41,41,INT 8-8-8-8,8,8,8,8,20,1.8791677575791255e-05,1.0,780480.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L41.json
31,31,INT 2-2-2-2,2,2,2,2,1,0.20270919799804688,4.0,147920.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L31.json
31,31,INT 2-2-2-4,2,2,2,4,2,0.20131251215934753,3.9571963616907437,149520.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L31.json
31,31,INT 4-2-2-2,4,2,2,2,3,0.08129257708787918,3.901872856766025,151640.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L31.json
31,31,INT 4-2-2-4,4,2,2,4,4,0.07989588379859924,3.8611328634821196,153240.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L31.json
31,31,INT 4-2-2-8,4,2,2,8,5,0.07984769344329834,3.7821529020710813,156440.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L31.json
31,31,INT 8-2-2-2,8,2,2,2,6,0.07547895610332489,3.7193864722152377,159080.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L31.json
31,31,INT 8-2-2-4,8,2,2,4,7,0.07408226281404495,3.6823500124471,160680.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L31.json
31,31,INT 8-2-2-8,8,2,2,8,8,0.07403407245874405,3.6104466682938736,163880.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L31.json
31,31,INT 4-4-2-2,4,4,2,2,9,0.01121378131210804,3.475563909774436,170240.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L31.json
31,31,INT 4-4-2-4,4,4,2,4,10,0.0098170917481184,3.4432029795158288,171840.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L31.json
31,31,INT 4-4-2-8,4,4,2,8,11,0.009768899530172348,3.380255941499086,175040.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L31.json
31,31,INT 8-4-2-2,8,4,2,2,12,0.005400161258876324,3.330031517334534,177680.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L31.json
31,31,INT 8-4-2-4,8,4,2,4,13,0.00400347076356411,3.3003123605533244,179280.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L31.json
31,31,INT 8-4-2-8,8,4,2,8,14,0.003955279476940632,3.2424375274002633,182480.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L31.json
31,31,INT 8-8-2-2,8,8,2,2,15,0.002472436521202326,2.753536857781087,214880.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L31.json
31,31,INT 8-8-2-4,8,8,2,4,16,0.001075746607966721,2.7331855136733187,216480.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L31.json
31,31,INT 8-8-2-8,8,8,2,8,17,0.0010275549720972776,2.6933721777130373,219680.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L31.json
31,31,INT 8-8-4-4,8,8,4,4,18,0.00012951828830409795,1.737781954887218,340480.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L31.json
31,31,INT 8-8-4-8,8,8,4,8,19,8.132671064231545e-05,1.7216014897579144,343680.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L31.json
31,31,INT 8-8-8-4,8,8,8,4,20,7.639349496457726e-05,1.005437737901033,588480.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L31.json
31,31,INT 8-8-8-8,8,8,8,8,21,2.820192094077356e-05,1.0,591680.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L31.json
