input_length,alpha,config,conv1_bits,conv2_bits,fc1_bits,fc2_bits,hawq_rank,omega,hawq_compression_ratio,hawq_bit_complexity,hawq_source
91,91,INT 8-8-4-4,8,8,4,4,20,2.9392685974016786e-05,1.7361469072164948,993280.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L91.json
91,91,INT 8-8-4-8,8,8,4,8,21,2.928852518380154e-05,1.7305716120745023,996480.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L91.json
91,91,INT 8-8-8-2,8,8,8,2,22,2.7897425752598792e-05,1.0027912169705993,1719680.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L91.json
91,91,INT 8-8-8-4,8,8,8,4,23,2.4828874302329496e-05,1.0018590816136828,1721280.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L91.json
91,91,INT 8-8-8-8,8,8,8,8,24,2.472471351211425e-05,1.0,1724480.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L91.json
81,81,INT 2-2-2-2,2,2,2,2,1,0.11236776411533356,4.0,383920.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L81.json
81,81,INT 2-2-2-4,2,2,2,4,2,0.11218917369842529,3.983399045445113,385520.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L81.json
81,81,INT 2-2-2-8,2,2,2,8,3,0.11218294501304626,3.95060712080675,388720.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L81.json
81,81,INT 4-2-2-2,4,2,2,2,4,0.01286906749010086,3.901229549842496,393640.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L81.json
81,81,INT 4-2-2-4,4,2,2,4,5,0.012690478004515171,3.8854366966906184,395240.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L81.json
81,81,INT 4-2-2-8,4,2,2,8,6,0.012684249319136143,3.8542315028611585,398440.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L81.json
81,81,INT 8-2-2-2,8,2,2,2,7,0.008753013797104359,3.7176333882056745,413080.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L81.json
81,81,INT 8-2-2-4,8,2,2,4,8,0.008574424311518669,3.7032892833027877,414680.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L81.json
81,81,INT 8-2-2-8,8,2,2,8,9,0.00856819562613964,3.6749306020867234,417880.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L81.json
81,81,INT 4-4-2-2,4,4,2,2,10,0.004707069136202335,3.4725036179450073,442240.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L81.json
81,81,INT 4-4-2-4,4,4,2,4,11,0.004528479650616646,3.4599855803893296,443840.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L81.json
81,81,INT 4-4-2-8,4,4,2,8,12,0.0045222509652376175,3.4352183249821047,447040.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L81.json
81,81,INT 8-4-2-2,8,4,2,2,13,0.0005910152103751898,3.3262866054409983,461680.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L81.json
81,81,INT 8-4-2-4,8,4,2,4,14,0.00041242552106268704,3.3147988257641168,463280.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L81.json
81,81,INT 8-4-2-8,8,4,2,8,15,0.0004061971267219633,3.2920596810152634,466480.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L81.json
81,81,INT 8-8-2-2,8,8,2,2,16,0.00024906834005378187,2.747781276839393,558880.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L81.json
81,81,INT 8-8-2-4,8,8,2,4,17,7.047869439702481e-05,2.739937196688553,560480.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L81.json
81,81,INT 8-8-2-8,8,8,2,8,18,6.425029278034344e-05,2.7243826284416692,563680.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L81.json
81,81,INT 8-8-4-4,8,8,4,4,19,2.3424157916451804e-05,1.7362518089725036,884480.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L81.json
81,81,INT 8-8-4-8,8,8,4,8,20,1.719575811875984e-05,1.7299927901946648,887680.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L81.json
81,81,INT 8-8-8-8,8,8,8,8,21,1.425988921255339e-05,1.0,1535680.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L81.json
71,71,INT 2-2-2-2,2,2,2,2,1,0.17355617880821228,4.0,336720.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L71.json
71,71,INT 4-2-2-2,4,2,2,2,2,0.059122469276189804,3.9012860618700036,345240.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L71.json
71,71,INT 8-2-2-2,8,2,2,2,3,0.05337964743375778,3.7177873468035774,362280.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L71.json
71,71,INT 4-4-2-2,4,4,2,2,4,0.008055225946009159,3.472772277227723,387840.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L71.json
71,71,INT 8-4-2-2,8,4,2,2,5,0.0023124059662222862,3.326615293420273,404880.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L71.json
71,71,INT 8-8-2-2,8,8,2,2,6,0.00027078259154222906,2.7482859941234086,490080.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L71.json
71,71,INT 8-8-4-2,8,8,4,2,7,-0.000159180533955805,1.739975196362133,774080.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L71.json
71,71,INT 8-8-8-2,8,8,8,2,8,-0.00018595436995383352,1.003576537911302,1342080.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L71.json
61,61,INT 2-2-2-2,2,2,2,2,1,0.1451600193977356,4.0,289520.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L61.json
61,61,INT 2-2-2-4,2,2,2,4,2,0.14412210881710052,3.978015938444628,291120.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L61.json
61,61,INT 2-2-2-8,2,2,2,8,3,0.14408516883850098,3.9347648817613483,294320.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L61.json
61,61,INT 4-2-2-2,4,2,2,2,4,0.02246599644422531,3.901361002560302,296840.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L61.json
61,61,INT 4-2-2-4,4,2,2,4,5,0.02142808772623539,3.880444980565608,298440.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L61.json
61,61,INT 4-2-2-8,4,2,2,8,6,0.02139115147292614,3.8392786102638907,301640.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L61.json
61,61,INT 8-2-2-2,8,2,2,2,7,0.01705682836472988,3.7179915243354307,311480.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L61.json
61,61,INT 8-2-2-4,8,2,2,4,8,0.01601891964673996,3.698990673310336,313080.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L61.json
61,61,INT 8-2-2-8,8,2,2,8,9,0.01598198339343071,3.661565701277349,316280.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L61.json
61,61,INT 4-4-2-2,4,4,2,2,10,0.007266830652952194,3.4731285988483687,333440.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L61.json
61,61,INT 4-4-2-4,4,4,2,4,11,0.006228921934962273,3.4565425023877747,335040.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L61.json
61,61,INT 4-4-2-8,4,4,2,8,12,0.0061919852159917355,3.423841059602649,338240.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L61.json
61,61,INT 8-4-2-2,8,4,2,2,13,0.0018576635047793388,3.3270512525856124,348080.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L61.json
61,61,INT 8-4-2-4,8,4,2,4,14,0.0008197549032047391,3.3118279569892475,349680.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L61.json
61,61,INT 8-4-2-8,8,4,2,8,15,0.0007828180096112192,3.281795511221945,352880.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L61.json
61,61,INT 8-8-2-4,8,8,2,4,16,0.00021872168872505426,2.7385546727203933,422880.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L61.json
61,61,INT 8-8-2-8,8,8,2,8,17,0.00018178479513153434,2.7179872324446115,426080.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L61.json
61,61,INT 8-8-4-4,8,8,4,4,18,6.816362292738631e-05,1.7365642994241843,666880.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L61.json
61,61,INT 8-8-4-8,8,8,4,8,19,3.1226743885781616e-05,1.7282712511938874,670080.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L61.json
61,61,INT 8-8-8-8,8,8,8,8,20,2.1013187506468967e-05,1.0,1158080.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L61.json
51,51,INT 2-2-2-2,2,2,2,2,1,0.17668063938617706,4.0,242320.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L51.json
51,51,INT 4-2-2-2,4,2,2,2,2,0.020643016323447227,3.901465142489132,248440.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L51.json
51,51,INT 8-2-2-2,8,2,2,2,3,0.0164230577647686,3.718275280036827,260680.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L51.json
51,51,INT 4-4-2-2,4,4,2,2,4,0.004977642558515072,3.4736238532110093,279040.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L51.json
51,51,INT 8-4-2-2,8,4,2,2,5,0.000757684581913054,3.327657237022796,291280.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L51.json
51,51,INT 8-8-2-2,8,8,2,2,6,0.00011801450455095619,2.749886518384022,352480.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L51.json
51,51,INT 8-8-4-2,8,8,4,2,7,-4.737800554721616e-05,1.7418056354226568,556480.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L51.json
51,51,INT 8-8-8-2,8,8,8,2,8,-5.735466766054742e-05,1.0049767750497678,964480.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L51.json
41,41,INT 2-2-2-2,2,2,2,2,1,0.11294378340244293,4.0,195120.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L41.json
41,41,INT 2-2-2-4,2,2,2,4,2,0.1122526079416275,3.9674664497763317,196720.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L41.json
41,41,INT 2-2-2-8,2,2,2,8,3,0.1122249960899353,3.9039615846338536,199920.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L41.json
41,41,INT 4-2-2-2,4,2,2,2,4,0.02006617933511734,3.901619676064787,200040.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L41.json
41,41,INT 4-2-2-4,4,2,2,4,5,0.01937500201165676,3.8706605832176155,201640.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L41.json
41,41,INT 4-2-2-8,4,2,2,8,6,0.01934739202260971,3.8101933216168717,204840.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L41.json
41,41,INT 8-2-2-2,8,2,2,2,7,0.016879064962267876,3.718696397941681,209880.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L41.json
41,41,INT 8-2-2-4,8,2,2,4,8,0.016187887638807297,3.6905617552487233,211480.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L41.json
41,41,INT 8-2-2-8,8,2,2,8,9,0.016160277649760246,3.635550586920067,214680.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L41.json
41,41,INT 4-4-2-2,4,4,2,2,10,0.004810440354049206,3.4743589743589745,224640.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L41.json
41,41,INT 4-4-2-4,4,4,2,4,11,0.004119262099266052,3.44978783592645,226240.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L41.json
41,41,INT 4-4-2-8,4,4,2,8,12,0.004091653507202864,3.401673640167364,229440.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L41.json
41,41,INT 8-4-2-2,8,4,2,2,13,0.0016233259811997414,3.328556806550665,234480.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L41.json
41,41,INT 8-4-2-4,8,4,2,4,14,0.0009321479592472315,3.3059979667909185,236080.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L41.json
41,41,INT 8-4-2-8,8,4,2,8,15,0.0009045391343533993,3.2617853560682044,239280.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L41.json
41,41,INT 8-8-2-4,8,8,2,4,16,0.00027804914861917496,2.7358384744812114,285280.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L41.json
41,41,INT 8-8-2-8,8,8,2,8,17,0.0002504403528291732,2.7054908485856903,288480.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L41.json
41,41,INT 8-8-4-4,8,8,4,4,18,5.878072988707572e-05,1.7371794871794872,449280.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L41.json
41,41,INT 8-8-4-8,8,8,4,8,19,3.117192682111636e-05,1.724893917963225,452480.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L41.json
41,41,INT 8-8-8-8,8,8,8,8,20,1.8791677575791255e-05,1.0,780480.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L41.json
31,31,INT 2-2-2-2,2,2,2,2,1,0.20270919799804688,4.0,147920.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L31.json
31,31,INT 2-2-2-4,2,2,2,4,2,0.20131251215934753,3.9571963616907437,149520.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L31.json
31,31,INT 4-2-2-2,4,2,2,2,3,0.08129257708787918,3.901872856766025,151640.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L31.json
